track_id,genre_id
37979,1
58751,1
59578,1
139065,1
84791,1
143144,1
48399,1
79902,1
35367,1
58764,1
24831,1
139066,1
27946,1
107509,1
143142,1
71858,1
148649,1
11430,1
34463,1
75704,1
59579,1
23149,7
11432,1
146000,1
70940,1
11426,1
136086,1
53230,3
70446,1
113597,1
31233,1
134985,1
52729,1
107510,1
11431,1
59022,1
70938,1
12926,1
46642,1
11695,1
75706,2
58077,3
23143,1
28121,1
55957,1
65656,1
59024,1
58721,1
107511,3
55949,1
70461,1
75919,7
70419,1
145568,1
58724,1
41954,1
59577,1
11389,1
34313,1
59582,1
59054,1
36533,1
149709,1
149702,1
12927,1
116411,1
120921,1
36477,1
140942,1
34319,1
58763,1
79910,1
19330,1
75893,1
19331,1
58756,1
36538,1
65671,1
10046,1
28104,6
51937,1
65664,1
149707,1
19333,1
52734,1
84793,1
52735,6
34461,1
59047,1
70941,1
149708,1
37978,1
28110,1
31236,1
25928,1
113598,1
59587,1
36474,1
51938,1
21527,1
70471,1
36472,1
17781,1
11429,1
58878,1
28109,1
79906,1
11420,1
70418,1
31240,1
28120,1
48401,1
75897,6
64503,5
134983,1
23145,1
58723,1
34465,1
75894,3
137923,2
133844,6
4519,5
46486,8
134629,2
14086,2
48296,2
20669,4
123932,4
51953,2
140373,8
74359,2
140317,2
79604,2
146877,6
132522,2
84486,2
154962,2
133022,2
144390,3
55161,2
92558,2
98921,5
144573,2
13709,6
57411,2
140344,2
75672,7
98952,2
75758,6
130877,1
145041,2
13835,2
76510,2
98984,2
71804,6
54659,8
114290,2
87068,4
99312,2
92466,2
109051,6
62636,2
110109,2
94410,2
19272,7
91587,2
23035,5
86156,6
120460,2
23818,2
80793,2
95409,2
60828,4
152546,2
28475,2
91567,2
13125,6
105408,6
67225,2
36097,2
67466,2
139726,2
93939,6
91998,6
55151,2
56797,7
14085,6
65073,2
6758,2
149698,2
48298,2
126621,2
99488,3
80558,8
143529,2
147780,7
140375,4
4522,7
147161,2
131489,4
143127,5
26905,5
44746,2
4707,4
68894,2
131001,6
40646,4
26854,7
116879,2
86159,2
104412,2
50866,2
31459,2
148355,2
26483,2
91215,2
124754,4
42720,7
32221,6
66636,2
37958,2
99028,5
22141,2
